id;url;title;description;location;is_active;created;updated
1;https://ervin.com;orchestration firewall;deposit IB;Lanka Bulgaria IB;true;2022-04-06T22:25:10;2022-04-06T16:51:04
2;http://alexandrine.com;Soft input;Directives override redundant;Licensed parsing;true;2022-04-07T07:17:06;2022-04-07T05:57:31
3;https://berry.biz;relationships;visionary bypassing Islands;grey;false;2022-04-06T19:50:31;2022-04-07T02:29:38
4;http://ila.info;non-volatile;Micronesia;Chair;false;2022-04-06T21:03:08;2022-04-06T13:01:27
5;http://monte.info;optical Passage;Berkshire calculate;forecast functionalities;false;2022-04-07T00:06:31;2022-04-07T09:03:21
6;http://stacy.com;Assurance Cotton Towels;value-added programming;Account monitor;true;2022-04-07T07:48:46;2022-04-06T18:06:46
7;https://jakayla.biz;Dynamic;wireless Gourde;hacking;false;2022-04-06T20:16:44;2022-04-07T08:11:42
8;https://serenity.com;yellow;ADP;Profit-focused Hawaii;false;2022-04-07T04:33:41;2022-04-06T15:02:16
9;http://wendell.info;concept Focused Accountability;Bedfordshire;Administrator policy;true;2022-04-06T20:39:30;2022-04-07T09:27:56
10;http://johan.com;holistic;analyzer Rubber;Account;false;2022-04-07T09:56:01;2022-04-06T17:42:30
